sample	library	run	pair	layout	fqpath
9260	9260A	CL100037283_L02	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100037283_L02_9260A_m0_2.fq.gz
9255	9255A	CL100039854_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_9255A_m0_1.fq.gz
9255	9255A	CL100039854_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_9255A_m0_2.fq.gz
9264	9264A	CL100039854_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_9264A_m0_1.fq.gz
9264	9264A	CL100039854_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_9264A_m0_2.fq.gz
9270	9270A	CL100039854_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_9270A_m0_1.fq.gz
9270	9270A	CL100039854_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_9270A_m0_2.fq.gz
9279	9279A	CL100039854_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_9279A_m0_1.fq.gz
9279	9279A	CL100039854_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_9279A_m0_2.fq.gz
P11	P11A	CL100039854_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_P11A_m0_1.fq.gz
P11	P11A	CL100039854_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_P11A_m0_2.fq.gz
P12	P12A	CL100039854_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_P12A_m0_1.fq.gz
P12	P12A	CL100039854_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_P12A_m0_2.fq.gz
P14	P14A	CL100039854_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_P14A_m0_1.fq.gz
P14	P14A	CL100039854_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_P14A_m0_2.fq.gz
P3	P3B	CL100039854_L01	1	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_P3B_m0_1.fq.gz
P3	P3B	CL100039854_L01	2	paired_end	/steveData/saola/qcmapping/results/demultiplexed/CL100039854_L01_P3B_m0_2.fq.gz
