Table S3 Heterozygosity resources						
Catalog	Common name	Taxonomy	Family	Order	Conservation status	Heterozygosity 
animals	Tibetan frog	Nanorana parkeri	Anura	Dicroglossidae	Near Threatened	0.0004300
animals	Tongue sole	Cynoglossus semilaevis	Pleuronectiformes	Cynoglossidae	Data deficient	0.0064018
animals	Mosquito	Culex hortensis	Diptera	Culicidae	Least Concern	0.0066808
animals	Eastern rockhopper penguin	Eudyptes filholi	Sphenisciformes	Spheniscidae	Data deficient	0.0013824
animals	Mediterranean green crab	Carcinus aestuarii	Decapoda	Carcinidae	Data deficient	0.0030958
animals	Red ribbon worm	Lineus ruber	Heteronemertea	Lineidae	Data deficient	0.0032512
animals	Brachiopod	Lingula anatina	Lingulida	Lingulidae	Data deficient	0.0160000
animals	C. elegans	Caenorhabditis elegans	Rhabditida	Rhabditidae	Least Concern	0.0099362
animals	Western lowland gorilla	Gorilla gorilla gorilla	Primates	Hominidae	Critically Endangered	0.0014380
animals	European flat oyster	Ostrea edulis	Ostreoida	Ostreidae	Data deficient	0.0019860
animals	Saker falcon	Falco cherrug	Falconiformes	Falconidae	Endangered	0.0008000
animals	C. brenneri	Caenorhabditis brenneri	Rhabditida	Rhabditidae	Data deficient	0.0073937
animals	African lion	Panthera leo	Carnivora	Felidae	Endangered	0.0005839
animals	Sponge	Amphimedon queenslandica	Haplosclerida	Niphatidae	Data deficient	0.0237000
animals	Postman butterfly	Heliconius melpomene melpomene	Lepidoptera	Nymphalidae	Least Concern	0.0185141
animals	Sea urchin	Abatus agassizi/cordatus	Spatangoida	Schizasteridae	Least Concern	0.0038730
animals	King penguin	Aptenodytes patagonicus	Sphenisciformes	Spheniscidae	Least Concern	0.0010998
animals	African green monkey	Chlorocebus aethiops aethiops	Primates	Cercopithecidae	Least Concern	0.0008000
animals	Zebra finch	Taeniopygia guttata	Passeriformes	Estrildidae	Least Concern	0.0014000
animals	Green worm	Allolobophora chlorotica	Haplotaxida	Lumbricidae	Data deficient	0.0106307
animals	California mussel	Mytilus californianus	Mytiloida	Mytilidae	Data deficient	0.0061798
animals	Orang-Utan (Bornean)	Pongo pygmaeus	Primates	Hominidae	Critically Endangered	0.0006472
animals	White African lion	Panthera leo	Carnivora	Felidae	Critically Endangered	0.0004772
animals	Northern rockhopper penguin	Eudyptes moseleyi	Sphenisciformes	Spheniscidae	Endangered	0.0010225
animals	House mouse (SE Asia)	Mus musculus castaneus	Rodentia	Muridae	Least Concern	0.0080906
animals	Human Sardinian	Homo sapiens	Primates	Hominidae	Least Concern	0.0007950
animals	Human French	Homo sapiens	Primates	Hominidae	Least Concern	0.0008100
animals	Meadow fritillary	Mellicta parthenoides	Lepidoptera	Nymphalidae	Data deficient	0.0056162
animals	White-tailed eagle	Haliaeetus albicilla	Accipitriformes	Accipitridae	Data deficient	0.0004000
animals	Human Mandenka	Homo sapiens	Primates	Hominidae	Least Concern	0.0010570
animals	Eastern subterranean termite	Reticulitermes flavipes	Blattodea	Rhinotermitidae	Data deficient	0.0010536
animals	Japanese rice fish	Oryzias latipes	Beloniformes	Adrianichthyidae	Least Concern	0.0030408
animals	Orang-Utan (Sumatran)	Pongo abelii	Primates	Hominidae	Critically Endangered	0.0011974
animals	Eastern white slipper snail	Crepidula plana	Littorinimorpha	Calyptraeidae	Data deficient	0.0081061
animals	Bearded dragon lizard	Pogona vitticeps	Squamata	Agamidae	Least Concern	0.0085000
animals	Yellow gorgonion	Eunicella cavolinii	Alcyonacea	Gorgoniidae	Data deficient	0.0029681
animals	Spotted fritillary	Melitaea didyma	Lepidoptera	Nymphalidae	Least Concern	0.0094189
